state,abbr,investor_originations,investor_volume_usd,investor_share,denial_rate,investor_median_rate,owner_median_rate,rate_premium_bps,investor_median_ltv,business_purpose_share,cash_out_share
"Alabama",AL,8083,1550495000,0.1003,0.1511,7.625,6.5,113,75.0,0.6668,0.1248
"Alaska",AK,482,149080000,0.0525,0.2137,7.5,6.375,113,75.0,0.7386,0.1826
"Arizona",AZ,8722,3245070000,0.0693,0.1861,7.375,6.5,88,70.0,0.6597,0.2011
"Arkansas",AR,6379,1144305000,0.1403,0.0791,8,6.625,138,75.0,0.6546,0.0466
"California",CA,42942,26935470000,0.1094,0.1843,7.5,6.625,88,69.0,0.7056,0.2455
"Colorado",CO,7138,3179980000,0.0651,0.1832,7.375,6.5,88,70.0,0.6755,0.1587
"Connecticut",CT,4595,1486685000,0.0911,0.2020,7.625,6.625,100,75.0,0.8213,0.2464
"Delaware",DE,1408,355580000,0.0757,0.1756,7.5,6.625,88,75.0,0.6825,0.2251
"District of Columbia",DC,780,475710000,0.1087,0.2954,7.625,6.5,113,70.0,0.7128,0.2244
"Florida",FL,42282,15224260000,0.1105,0.2293,7.562,6.5,106,72.6,0.7729,0.1908
"Georgia",GA,18563,5320405000,0.1020,0.1828,7.5,6.5,100,75.0,0.6202,0.1577
"Hawaii",HI,2026,1270540000,0.1554,0.2557,7.5,6.5,100,66.1,0.7206,0.1619
"Idaho",ID,2276,756440000,0.0635,0.1733,7.25,6.625,63,70.0,0.5637,0.1859
"Illinois",IL,14989,3045795000,0.0904,0.1646,7.625,6.75,88,75.0,0.6642,0.1691
"Indiana",IN,8784,1536920000,0.0710,0.1542,7.5,6.75,75,75.0,0.6732,0.1778
"Iowa",IA,4690,705100000,0.0904,0.0702,7.25,6.5,75,75.0,0.4661,0.0701
"Kansas",KS,4745,790885000,0.1117,0.0843,7.75,6.625,113,75.0,0.5378,0.0936
"Kentucky",KY,6168,1156930000,0.0933,0.1187,7.625,6.625,100,75.0,0.5887,0.0903
"Louisiana",LA,6443,1334465000,0.1300,0.1370,7.999,6.624,138,75.0,0.5061,0.1139
"Maine",ME,1463,453165000,0.0673,0.2032,7.625,6.75,88,75.0,0.7266,0.1497
"Maryland",MD,8472,2095670000,0.0901,0.2021,7.625,6.625,100,75.0,0.7512,0.1874
"Massachusetts",MA,7566,4443870000,0.0850,0.1736,7.375,6.625,75,70.0,0.7487,0.1591
"Michigan",MI,9811,1686435000,0.0658,0.2059,7.625,6.75,88,75.0,0.7341,0.2182
"Minnesota",MN,5080,1177260000,0.0584,0.1120,7.5,6.625,88,75.0,0.4795,0.0744
"Mississippi",MS,4654,721580000,0.1235,0.1123,8.25,6.625,163,75.0,0.7243,0.0696
"Missouri",MO,12962,2216310000,0.1234,0.0994,7.75,6.625,113,75.0,0.6383,0.1082
"Montana",MT,1235,442795000,0.0842,0.1459,7.375,6.624,75,70.0,0.6955,0.1012
"Nebraska",NE,3046,565030000,0.0995,0.0784,7.75,6.625,113,75.0,0.5532,0.0640
"Nevada",NV,5321,1775195000,0.1010,0.1681,7.5,6.5,100,70.0,0.7455,0.1413
"New Hampshire",NH,1144,387350000,0.0545,0.2033,7.49,6.75,74,74.8,0.7509,0.1792
"New Jersey",NJ,14283,5649615000,0.1200,0.1850,7.625,6.625,100,74.0,0.7874,0.2345
"New Mexico",NM,1631,383895000,0.0581,0.2192,7.5,6.625,88,73.7,0.6499,0.2477
"New York",NY,17900,8537390000,0.1158,0.2022,7.625,6.625,100,70.6,0.8441,0.2247
"North Carolina",NC,18316,4968310000,0.0943,0.1590,7.375,6.525,85,75.0,0.6750,0.1382
"North Dakota",ND,779,149645000,0.0760,0.0580,7.25,6.375,88,75.0,0.6868,0.0526
"Ohio",OH,16858,2696300000,0.0915,0.1696,7.625,6.75,88,75.0,0.7256,0.1889
"Oklahoma",OK,8867,1570765000,0.1552,0.0874,7.749,6.625,112,75.0,0.6276,0.0774
"Oregon",OR,3481,1252775000,0.0640,0.1802,7.375,6.625,75,70.0,0.6630,0.2238
"Pennsylvania",PA,18938,3839390000,0.1080,0.1789,7.625,6.625,100,75.0,0.7545,0.2007
"Rhode Island",RI,1282,537870000,0.0787,0.1871,7.625,6.75,88,71.9,0.7285,0.2504
"South Carolina",SC,7316,2025730000,0.0724,0.1867,7.625,6.5,113,75.0,0.6864,0.1545
"South Dakota",SD,919,200155000,0.0727,0.0856,7.75,6.5,125,75.0,0.6474,0.0577
"Tennessee",TN,13064,3523680000,0.1054,0.1433,7.5,6.624,88,75.0,0.6740,0.1471
"Texas",TX,42756,11197790000,0.1001,0.1720,7.375,6.5,88,75.0,0.6472,0.1469
"Utah",UT,3689,1413815000,0.0577,0.2067,7.125,6.625,50,70.0,0.7075,0.1629
"Vermont",VT,548,276560000,0.0683,0.1659,7.22,6.625,59,75.0,0.7555,0.0748
"Virginia",VA,10397,2884075000,0.0732,0.1641,7.5,6.624,88,75.0,0.6476,0.1603
"Washington",WA,7802,3698310000,0.0692,0.1843,7.375,6.625,75,70.0,0.7193,0.1719
"West Virginia",WV,1592,272620000,0.0770,0.1455,7.5,6.562,94,75.0,0.5835,0.1055
"Wisconsin",WI,6970,1396230000,0.0703,0.1285,7.5,6.65,85,75.0,0.6367,0.1692
"Wyoming",WY,611,175255000,0.0698,0.1466,7.375,6.5,88,74.6,0.6105,0.1178
