type,name,state,fmr_2br_2026,fmr_2br_2025,yoy_pct
state,"Alabama",AL,1083,1094,2.23
state,"Alaska",AK,1631,1563,0.42
state,"Arizona",AZ,1402,1377,0.59
state,"Arkansas",AR,1101,1037,5.11
state,"California",CA,2228,2363,3.16
state,"Colorado",CO,1732,1695,0.87
state,"Connecticut",CT,1865.5,1639,13.83
state,"Delaware",DE,1640,1647,-0.52
state,"District of Columbia",DC,2246,2314,-2.94
state,"Florida",FL,1704.5,1629.5,2.78
state,"Georgia",GA,1331,1264,1.91
state,"Hawaii",HI,2633,2498,5.98
state,"Idaho",ID,1273,1259.5,1.99
state,"Illinois",IL,1175,1080,3.89
state,"Indiana",IN,1208,1128,9.99
state,"Iowa",IA,1143,1043,8.39
state,"Kansas",KS,1088,1015,5.68
state,"Kentucky",KY,1212.5,1169,-0.69
state,"Louisiana",LA,1019,1000,-2.55
state,"Maine",ME,1894.5,1697.5,14.11
state,"Maryland",MD,1810,1802,-2.94
state,"Massachusetts",MA,2078,1899,6.12
state,"Michigan",MI,1193,1152,5.14
state,"Minnesota",MN,1188.5,1162.5,4.85
state,"Mississippi",MS,1140,1143,-2.47
state,"Missouri",MO,1086,1021,1.51
state,"Montana",MT,1417,1373,3.20
state,"Nebraska",NE,1154,1125,8.49
state,"Nevada",NV,1735,1722,5.39
state,"New Hampshire",NH,2194,1963,4.57
state,"New Jersey",NJ,2205,2040,8.61
state,"New Mexico",NM,1274.5,1186,4.25
state,"New York",NY,1405,1352,4.68
state,"North Carolina",NC,1330,1217,4.68
state,"North Dakota",ND,1112,1012,10.67
state,"Ohio",OH,1086,1040,5.30
state,"Oklahoma",OK,1027,980,4.05
state,"Oregon",OR,1691.5,1519,6.05
state,"Pennsylvania",PA,1376.5,1284.5,8.42
state,"Rhode Island",RI,1729,1614,7.13
state,"South Carolina",SC,1276,1298,2.53
state,"South Dakota",SD,1156,1043,12.23
state,"Tennessee",TN,1267,1232.5,0.63
state,"Texas",TX,1276,1258,0.38
state,"Utah",UT,1575,1485,6.06
state,"Vermont",VT,2140,1936,10.54
state,"Virginia",VA,1322,1392,0.10
state,"Washington",WA,1635,1572.5,1.72
state,"West Virginia",WV,1013.5,1012.5,1.33
state,"Wisconsin",WI,1206.5,1143.5,8.07
state,"Wyoming",WY,1128,1101.5,2.39
metro,"Abilene, TX",TX,1276,1207,5.72
metro,"Acadia Parish, LA",LA,880,903,-2.55
metro,"Akron, OH",OH,1268,1131,12.11
metro,"Albany-Schenectady-Troy, NY",NY,1702,1487,14.46
metro,"Albany, GA",GA,1129,1080,4.54
metro,"Albany, OR",OR,1695,1459,16.18
metro,"Albuquerque, NM",NM,1464,1331,9.99
metro,"Alexandria, LA",LA,994,1000,-0.60
metro,"Allentown-Bethlehem-Easton, PA",PA,1634,1507,8.43
metro,"Altoona, PA",PA,1138,1062,7.16
metro,"Amarillo, TX",TX,1106,1158,-4.49
metro,"Ames, IA",IA,1153,1056,9.19
metro,"Anchorage, AK",AK,1631,1563,4.35
metro,"Anderson, IN",IN,1206,1054,14.42
metro,"Anderson, SC",SC,1173,947,23.86
metro,"Ann Arbor, MI",MI,1656,1607,3.05
metro,"Anniston-Oxford, AL",AL,962,941,2.23
metro,"Appleton, WI",WI,1236,1106,11.75
metro,"Asheville, NC",NC,1835,1512,21.36
metro,"Assumption Parish, LA",LA,967,926,4.43
metro,"Athens-Clarke County, GA",GA,1331,1225,8.65
metro,"Atlanta-Sandy Springs-Roswell, GA",GA,1820,1830,-0.55
metro,"Atlantic City-Hammonton, NJ",NJ,1867,1719,8.61
metro,"Auburn-Opelika, AL",AL,1181,1168,1.11
metro,"Austin-Round Rock-San Marcos, TX",TX,1852,1949,-4.98
metro,"Bakersfield-Delano, CA",CA,1483,1380,7.46
metro,"Baltimore-Columbia-Towson, MD",MD,1857,1965,-5.50
metro,"Bangor, ME",ME,1659,1424,16.50
metro,"Barnstable Town, MA",MA,2422,2346,3.24
metro,"Baton Rouge, LA",LA,1204,1222,-1.47
metro,"Battle Creek, MI",MI,1176,1090,7.89
metro,"Bay City, MI",MI,1030,976,5.53
metro,"Beaumont-Port Arthur, TX",TX,1103,1113,-0.90
metro,"Bellingham, WA",WA,1794,1642,9.26
metro,"Bend-Redmond, OR",OR,1784,1667,7.02
metro,"Bergen-Passaic, NJ",NJ,2324,2072,12.16
metro,"Billings, MT",MT,1417,1373,3.20
metro,"Binghamton, NY",NY,1103,1188,-7.15
metro,"Birmingham-Hoover, AL",AL,1266,1267,-0.08
metro,"Bismarck, ND",ND,1175,1023,14.86
metro,"Blacksburg-Christiansburg-Radford, VA",VA,1271,1231,3.25
metro,"Bloomington, IL",IL,1302,1080,20.56
metro,"Bloomington, IN",IN,1210,1223,-1.06
metro,"Boise City, ID",ID,1655,1838,-9.96
metro,"Boston-Cambridge-Quincy, MA-NH",MA-NH,2941,2837,3.67
metro,"Boulder, CO",CO,2124,2059,3.16
metro,"Bowling Green, KY",KY,1153,1173,-1.71
metro,"Bremerton-Silverdale-Port Orchard, WA",WA,2031,2057,-1.26
metro,"Brockton, MA",MA,2311,2155,7.24
metro,"Brownsville-Harlingen, TX",TX,1047,948,10.44
metro,"Brunswick-St. Simons, GA",GA,1293,1264,2.29
metro,"Buffalo-Cheektowaga, NY",NY,1343,1176,14.20
metro,"Burlington-South Burlington, VT",VT,2140,1936,10.54
metro,"Burlington, NC",NC,1348,1217,10.76
metro,"Canton-Massillon, OH",OH,1086,978,11.04
metro,"Cape Coral-Fort Myers, FL",FL,1961,1843,6.40
metro,"Cape Girardeau, MO-IL",MO-IL,992,985,0.71
metro,"Carson City, NV",NV,1546,1467,5.39
metro,"Casper, WY",WY,1082,1062,1.88
metro,"Cedar Rapids, IA",IA,1071,993,7.85
metro,"Chambersburg, PA",PA,1379,1193,15.59
metro,"Champaign-Urbana, IL",IL,1122,1080,3.89
metro,"Charleston-North Charleston, SC",SC,1787,1820,-1.81
metro,"Charleston, WV",WV,1036,1054,-1.71
metro,"Charlotte-Concord-Gastonia, NC-SC",NC-SC,1686,1824,-7.57
metro,"Charlottesville, VA",VA,1824,1729,5.49
metro,"Chattanooga, TN-GA",TN-GA,1390,1426,-2.52
metro,"Cheyenne, WY",WY,1174,1141,2.89
metro,"Chicago-Joliet-Naperville, IL",IL,1781,1761,1.14
metro,"Chico, CA",CA,1625,1466,10.85
metro,"Cincinnati, OH-KY-IN",OH-KY-IN,1353,1287,5.13
metro,"Clarksville, TN-KY",TN-KY,1346,1229,9.52
metro,"Cleveland, TN",TN,1233,1210,1.90
metro,"Coeur d'Alene, ID",ID,1547,1460,5.96
metro,"College Station-Bryan, TX",TX,1186,1206,-1.66
metro,"Colorado Springs, CO",CO,1735,1778,-2.42
metro,"Columbia, MO",MO,1160,1007,15.19
metro,"Columbia, SC",SC,1276,1298,-1.69
metro,"Columbus, GA-AL",GA-AL,1088,1108,-1.81
metro,"Columbus, IN",IN,1415,1268,11.59
metro,"Columbus, OH",OH,1430,1445,-1.04
metro,"Corpus Christi, TX",TX,1366,1390,-1.73
metro,"Corvallis, OR",OR,1824,1643,11.02
metro,"Crestview-Fort Walton Beach-Destin, FL",FL,1785,1571,13.62
metro,"Dallas, TX",TX,1931,1884,2.49
metro,"Dalton, GA",GA,1121,1100,1.91
metro,"Daphne-Fairhope-Foley, AL",AL,1345,1244,8.12
metro,"Davenport-Moline-Rock Island, IA-IL",IA-IL,1143,1025,11.51
metro,"Dayton-Kettering-Beavercreek, OH",OH,1273,1077,18.20
metro,"Decatur, AL",AL,961,923,4.12
metro,"Decatur, IL",IL,1063,1000,6.30
metro,"Deltona-Daytona Beach-Ormond Beach, FL",FL,1700,1718,-1.05
metro,"Denver-Aurora-Centennial, CO",CO,2089,2140,-2.38
metro,"Des Moines-West Des Moines, IA",IA,1318,1216,8.39
metro,"Detroit-Warren-Livonia, MI",MI,1411,1378,2.39
metro,"Dothan, AL",AL,950,896,6.03
metro,"Dover, DE",DE,1470,1492,-1.47
metro,"Dubuque, IA",IA,1077,996,8.13
metro,"Duluth, MN-WI",MN-WI,1232,1140,8.07
metro,"Durham-Chapel Hill, NC",NC,1711,1872,-8.60
metro,"Easton-Raynham, MA",MA,2550,2403,6.12
metro,"Eau Claire, WI",WI,1181,1092,8.15
metro,"El Centro, CA",CA,1362,1371,-0.66
metro,"El Paso, TX",TX,1191,1192,-0.08
metro,"Elizabethtown, KY",KY,1056,1075,-1.77
