year,entity,property_share_pct,unit_share_pct,property_share_reported_pct
2018,"Individual investor",71.6,41.2,74.1
2018,"Trustee for estate",3.6,2.5,3.7
2018,"LLP, LP, or LLC",16.2,37.5,16.8
2018,"Tenant in common",0.5,0.3,0.5
2018,"General partnership",0.4,2.5,0.4
2018,"Real Estate Investment Trust (REIT)",1,2.2,1
2018,"Real estate corporation",1.2,2.8,1.2
2018,"Housing cooperative",0.1,0.2,0.1
2018,"Nonprofit organization",0.8,2.8,0.8
2018,"Other institution",1.3,1.8,1.4
2021,"Individual investor",68.7,38,72.3
2021,"Trustee for estate",2.5,2,2.6
2021,"LLP, LP, or LLC",16.2,38.7,17.1
2021,"Tenant in common",2.1,1,2.3
2021,"General partnership",0.9,1.8,1
2021,"Real Estate Investment Trust (REIT)",0.5,1.5,0.6
2021,"Real estate corporation",0.6,2.7,0.6
2021,"Housing cooperative",0,0.1,0
2021,"Nonprofit organization",1.9,2.8,2
2021,"Other institution",1.4,1.9,1.5
2024,"Individual investor",58.9,31.6,64.1
2024,"Trustee for estate",6.3,3.8,6.9
2024,"LLP, LP, or LLC",21.4,43,23.4
2024,"Tenant in common",0,0.1,0
2024,"General partnership",0.3,1.4,0.3
2024,"Real Estate Investment Trust (REIT)",1,1.3,1.1
2024,"Real estate corporation",0.7,3,0.8
2024,"Housing cooperative",0.1,0.4,0.1
2024,"Nonprofit organization",0.6,2.1,0.7
2024,"Other institution",2.4,2.4,2.6
