type,name,state,median_gross_rent,median_home_value,gross_yield
state,"Alabama",AL,1077,233300,0.0554
state,"Alaska",AK,1444,376500,0.0460
state,"Arizona",AZ,1672,426000,0.0471
state,"Arkansas",AR,982,215600,0.0547
state,"California",CA,2104,759500,0.0332
state,"Colorado",CO,1822,574600,0.0381
state,"Connecticut",CT,1550,396900,0.0469
state,"Delaware",DE,1530,371600,0.0494
state,"District of Columbia",DC,1931,733400,0.0316
state,"Florida",FL,1812,396900,0.0548
state,"Georgia",GA,1506,343300,0.0526
state,"Hawaii",HI,1942,875900,0.0266
state,"Idaho",ID,1384,446400,0.0372
state,"Illinois",IL,1322,280700,0.0565
state,"Indiana",IN,1104,243500,0.0544
state,"Iowa",IA,981,227300,0.0518
state,"Kansas",KS,1079,238700,0.0542
state,"Kentucky",KY,998,226000,0.0530
state,"Louisiana",LA,1064,223200,0.0572
state,"Maine",ME,1210,341900,0.0425
state,"Maryland",MD,1721,436300,0.0473
state,"Massachusetts",MA,1848,607400,0.0365
state,"Michigan",MI,1168,254200,0.0551
state,"Minnesota",MN,1291,344600,0.0450
state,"Mississippi",MS,990,186500,0.0637
state,"Missouri",MO,1067,254400,0.0503
state,"Montana",MT,1177,425400,0.0332
state,"Nebraska",NE,1102,263100,0.0503
state,"Nevada",NV,1709,455500,0.0450
state,"New Hampshire",NH,1558,458800,0.0407
state,"New Jersey",NJ,1800,496000,0.0435
state,"New Mexico",NM,1117,279900,0.0479
state,"New York",NY,1634,449800,0.0436
state,"North Carolina",NC,1338,333000,0.0482
state,"North Dakota",ND,980,266100,0.0442
state,"Ohio",OH,1090,239800,0.0545
state,"Oklahoma",OK,1044,222100,0.0564
state,"Oregon",OR,1597,497500,0.0385
state,"Pennsylvania",PA,1252,277600,0.0541
state,"Rhode Island",RI,1418,455700,0.0373
state,"South Carolina",SC,1272,299500,0.0510
state,"South Dakota",SD,999,289600,0.0414
state,"Tennessee",TN,1284,332600,0.0463
state,"Texas",TX,1475,313200,0.0565
state,"Utah",UT,1593,545200,0.0351
state,"Vermont",VT,1319,352800,0.0449
state,"Virginia",VA,1646,403500,0.0490
state,"Washington",WA,1824,602200,0.0363
state,"West Virginia",WV,883,170800,0.0620
state,"Wisconsin",WI,1142,294700,0.0465
state,"Wyoming",WY,998,339500,0.0353
metro,"Abilene, TX",TX,1173,190500,0.0739
metro,"Aguadilla, PR",PR,572,154900,0.0443
metro,"Akron, OH",OH,1059,237300,0.0536
metro,"Albany-Schenectady-Troy, NY",NY,1341,316300,0.0509
metro,"Albany, GA",GA,975,158500,0.0738
metro,"Albany, OR",OR,1363,417300,0.0392
metro,"Albuquerque, NM",NM,1220,322700,0.0454
metro,"Alexandria, LA",LA,899,165800,0.0651
metro,"Allentown-Bethlehem-Easton, PA-NJ",PA-NJ,1458,332700,0.0526
metro,"Altoona, PA",PA,895,169600,0.0633
metro,"Amarillo, TX",TX,1097,226600,0.0581
metro,"Ames, IA",IA,950,279700,0.0408
metro,"Amherst Town-Northampton, MA",MA,1425,413400,0.0414
metro,"Anchorage, AK",AK,1491,410900,0.0435
metro,"Ann Arbor, MI",MI,1554,395300,0.0472
metro,"Anniston-Oxford, AL",AL,915,163400,0.0672
metro,"Appleton, WI",WI,1164,297500,0.0470
metro,"Arecibo, PR",PR,537,129500,0.0498
metro,"Asheville, NC",NC,1396,420800,0.0398
metro,"Athens-Clarke County, GA",GA,1238,356400,0.0417
metro,"Atlanta-Sandy Springs-Roswell, GA",GA,1770,402100,0.0528
metro,"Atlantic City-Hammonton, NJ",NJ,1467,366000,0.0481
metro,"Auburn-Opelika, AL",AL,1111,288600,0.0462
metro,"Augusta-Richmond County, GA-SC",GA-SC,1243,262100,0.0569
metro,"Austin-Round Rock-San Marcos, TX",TX,1784,482800,0.0443
metro,"Bakersfield-Delano, CA",CA,1479,363600,0.0488
metro,"Baltimore-Columbia-Towson, MD",MD,1633,403000,0.0486
metro,"Bangor, ME",ME,1015,257700,0.0473
metro,"Barnstable Town, MA",MA,1577,692900,0.0273
metro,"Baton Rouge, LA",LA,1138,252000,0.0542
metro,"Battle Creek, MI",MI,991,172300,0.0690
metro,"Bay City, MI",MI,976,168700,0.0694
metro,"Beaumont-Port Arthur, TX",TX,1134,181700,0.0749
metro,"Beckley, WV",WV,935,135100,0.0830
metro,"Bellingham, WA",WA,1569,627800,0.0300
metro,"Bend, OR",OR,1834,631000,0.0349
metro,"Billings, MT",MT,1170,383900,0.0366
metro,"Binghamton, NY",NY,981,161600,0.0728
metro,"Birmingham, AL",AL,1262,263900,0.0574
metro,"Bismarck, ND",ND,935,305600,0.0367
metro,"Blacksburg-Christiansburg-Radford, VA",VA,1123,270600,0.0498
metro,"Bloomington, IL",IL,1034,231600,0.0536
metro,"Bloomington, IN",IN,1153,311100,0.0445
metro,"Boise City, ID",ID,1628,484000,0.0404
metro,"Boston-Cambridge-Newton, MA-NH",MA-NH,2093,681100,0.0369
metro,"Boulder, CO",CO,1966,783000,0.0301
metro,"Bowling Green, KY",KY,1024,258900,0.0475
metro,"Bozeman, MT",MT,1917,734100,0.0313
metro,"Bremerton-Silverdale-Port Orchard, WA",WA,1869,579700,0.0387
